RMT Statistic,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,REFLECT_INTERLEAVED,rest_v_task,43467.53223523339,35933.250865903065,2.995890891109533,,,13.625605938230589,5.750435100123722e-17,,,3772.0,1.300474820712967e-16,0.9812695109261186
β,REFLECT_SUMMED,rest_v_task,0.7180996970149224,0.22254267815854606,1.4291101818409675,,,6.115117936387253,3.4215691600552977e-07,,,3027.5,3.368012402647144e-07,0.7875910509885536
Largest Eigenvalue,REFLECT_SUMMED,rest_v_task,17181.507755305098,19655.04027666044,-0.8631793357604666,,,-5.455142371632502,7.331980614662799e-07,,,841.0,1.3415566041470694e-06,0.2187825182101977
Shifted Noise Ratio,REFLECT_SUMMED,rest_v_task,0.014619418401398375,0.01936729356084195,-0.8333799150654166,,,-4.666089171867414,2.037428271575093e-05,,,1025.0,4.8894304071075735e-05,0.2666493236212279
Largest Eigenvalue,PARKINSONS,control_pre_v_park_pre,40186.27902413549,45994.02961406293,-0.5447227118775945,,,-4.324591934692987,2.429827840374992e-05,,,7004.0,0.00021353964375753402,0.37058201058201057
β,OSTEO,duloxetine_v_nopain,0.09065793883066384,0.5160423479879463,-1.1843625016944759,,,-3.7499702963085735,0.000763951895395593,,,82.0,0.0014388427798150407,0.21578947368421053
β,REFLECT_INTERLEAVED,rest_v_task,0.22155435199871787,0.0021960526429190973,1.3459036203512902,,,3.3465530599681235,0.002209236767677704,,,2592.0,1.0268278885402595e-10,0.6742976066597295
Shifted Noise Ratio,PSYCH_VIGILANCE_SES-1,high_v_low,0.027243589743589744,0.0205685618729097,0.5826541946637556,,,2.872650603691504,0.005337004367741335,,,1217.0,0.030367606877650624,0.6338541666666667
β,PSYCH_VIGILANCE_SES-1,high_v_low,0.8368502247330794,0.6292765994358507,0.5812923959019515,,,2.672209577466873,0.009207389845434887,,,1291.0,0.0021737690270303357,0.6723958333333333
Shifted Noise Ratio,REFLECT_INTERLEAVED,rest_v_task,0.01420199567076712,0.01676052838626858,-0.6419676541412306,,,-2.6460239921551207,0.011754299606511488,,,1159.0,0.0006185289457219782,0.30150884495317376
β,OSTEO,allpain_v_nopain,0.2277000283691407,0.5160423479879463,-0.7263788108079703,,,-2.5922345884293527,0.014665698215390847,,,352.5,0.01028899254747095,0.31473214285714285
Shifted Noise Ratio,LEARNING,rest_v_task,0.0739905498281787,0.08325279209621993,-0.40025546517044297,,,-2.499603122922872,0.015286405280058122,,,7139.0,0.010685174709466571,0.3873155381944444
Noise Ratio,REFLECT_INTERLEAVED,rest_v_task,0.0034317089910775576,0.0025880988860822397,0.5256548202605252,,,2.4952152470109343,0.016442303479567943,,,2662.0,0.0006925526076636755,0.6925078043704475
β,OSTEO,duloxetine_v_pain,0.09065793883066384,0.29807299326727754,-0.5603648196373628,,,-2.3428294008506523,0.022911692565074672,,,252.5,0.06579569392063728,0.3591749644381224
β,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.6882004517853024,0.8588517020537031,-0.469738393143276,,,-2.207065550542656,0.03092733411656548,,,614.0,0.025356213203190883,0.3654761904761905
β,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.8099305775208605,0.6615801760905131,0.40699598423663136,,,1.870588835652867,0.06523797611268642,,,1153.0,0.07418892080432299,0.6005208333333333
β,OSTEO,allpain_v_duloxetine,0.2277000283691407,0.09065793883066384,0.3905311252746323,,,1.82320017603633,0.07431806105804759,,,631.0,0.18586025270760986,0.5930451127819549
